ID,Nº Solicitud,SOLICITANTE,NOMBRE,NOM_COMERCIAL,NECESIDAD,VOLUMEN COMPETENCIA,PRECIO COMPETENCIA,VOLUMEN PROPUESTO,ENVASE,PAIS DESTINO,ACEPTADO,FINALIZADO,MOTIVO DENEGADO,FECHA DE APROBACIÓN SOL.,TIEMPO ESTIMADO (días laborables),FECHA FINALIZACION ESTIMADA,FECHA DE FINALIZACION REAL,HORAS EMPLEADAS I+D,HORAS EMPLEADAS EN CALIDAD,PROBLEMAS,COMENTARIOS
28,27/2025,interno,KELIK CAB AGNIQUE,,"Se solicita el desarrollo de un formulación agronómica especializada que constituye un proyecto de mejora de formulación existente con optimización de estabilidad, compatibilidad y comportamiento físico-químico. El objetivo es asegurar estabilidad físico-química, compatibilidad en mezcla y eficacia agronómica, garantizando cumplimiento normativo en el mercado Mundial y validación para liberación comercial.",NS/NC,NS/NC,NS/NC,NS/NC,Mundial,Sí,Sí,,2025-09-22,64,18/12/2025,15/12/2025,244,,"Problema reportado originalmente:
Durante el desarrollo del proyecto se registraron algunos comentarios e incidencias que fueron gestionados internamente. En particular, se realizaron ajustes y revisiones derivados de las siguientes observaciones: 15/dic/25 12:53 PM;712020:d8d35c01-546b-498f-aa7f-dbe2c966820c;Falla igual que el que se hizo con tensioactivo de AZELIS 12/nov/25 10:23 AM;712020:d8d35c01-546b-498f-aa7f-dbe2c966820c;vamos a verificar con un control porque aunque el producto sea NOK, hay que ver si es por el cambio de tensioactivo o porque es una formula vieja que no se habia verificado en calidad nunca. Estas situaciones fueron analizadas y resueltas dentro del proceso habitual de validación.

Contexto técnico del proyecto:
Proyecto interna formulación para **KELIK CAB AGNIQUE**: desarrollar/ajustar formulación para mejorar estabilidad, compatibilidad y rendimiento. Estado: con incidencias pendientes de resolver según resultados registrados. Referencia: ID-246.

Análisis técnico y posibles causas detectadas en ensayos:
El ensayo resulta **NOK**.
Componentes principales: AGUA INICIAL (33,95), POLISACARIDOS (26,5), CLORURO DE CALCIO SOLIDO (20,8), AGNIQUE PG 8107 (10,5), ACIDO BORICO (5,75).
Posibles causas (según la composición):
- polisacáridos/espesantes: posibles incompatibilidades con sales y variación reológica.
Siguiente iteración sugerida:
- hacer screening de pH, conductividad y estabilidad térmica; probar pequeñas variaciones de co-solventes/espesantes.

El ensayo resulta **NOK**.
Componentes principales: AGUA INICIAL (33,95), POLISACARIDOS (26,5), CLORURO DE CALCIO SOLIDO (20,8), AL 2575 (10,5), ACIDO BORICO (5,75).
Posibles causas (según la composición):
- polisacáridos/espesantes: posibles incompatibilidades con sales y variación reológica.
Siguiente iteración sugerida:
- hacer screening de pH, conductividad y estabilidad térmica; probar pequeñas variaciones de co-solventes/espesantes.",
29,28/2025,interno,RENRAIZADOR MARRUECOS,,"Se solicita el desarrollo de un bioestimulante aminoacídico que constituye un proyecto de mejora de formulación existente con optimización de estabilidad, compatibilidad y comportamiento físico-químico incorporando como materias primas destacadas hidrolizado vegetal rico en aminoácidos libres. El objetivo es asegurar estabilidad físico-química, compatibilidad en mezcla y eficacia agronómica, garantizando cumplimiento normativo en el mercado Marruecos y validación para liberación comercial.",NS/NC,NS/NC,NS/NC,NS/NC,Marruecos,Sí,Sí,,2025-09-30,28,06/11/2025,03/11/2025,100,,"Problema reportado originalmente:
Durante el desarrollo no se registraron incidencias relevantes que afectaran al avance del proyecto.

Contexto técnico del proyecto:
Proyecto interna formulación para **RENRAIZADOR MARRUECOS**: adaptación a requisitos/registros de Marruecos. Estado: con incidencias pendientes de resolver según resultados registrados. Referencia: ID-258.

Análisis técnico y posibles causas detectadas en ensayos:
El ensayo resulta **NOK**.
Componentes principales: AGUA (44,9), POLISACARIDOS (14), FOSFATO MONOAMÓNICO (13,2), CITRATO DE POTASIO (7,2), MONOETANOLAMINA (5).
Posibles causas (según la composición):
- presencia de goma xantana (riesgo de gelificación/viscosidad alta y sensibilidad a sales).
- coexistencia nitratos/fosfatos con otros iones: riesgo de cristalización si hay alta carga salina.
- presencia de co-solventes (alcohol/MPG/DMSO): puede afectar solubilidad y estabilidad.
- polisacáridos/espesantes: posibles incompatibilidades con sales y variación reológica.
Siguiente iteración sugerida:
- reducir xantana o prehidratar; probar alternativa (CMC/HEC) y revisar orden de adición.",
30,29/2025,interno,FLORONE ALGAS,,"Se solicita el desarrollo de un bioestimulante basado en extractos vegetales que constituye un proyecto de mejora de formulación existente con optimización de estabilidad, compatibilidad y comportamiento físico-químico incorporando como materias primas destacadas extractos de algas de alta concentración. El objetivo es asegurar estabilidad físico-química, compatibilidad en mezcla y eficacia agronómica, garantizando cumplimiento normativo en el mercado México y validación para liberación comercial.",NS/NC,NS/NC,NS/NC,NS/NC,México,Sí,Sí,,2025-10-06,57,23/12/2025,18/12/2025,216,,"Problema reportado originalmente:
Durante el desarrollo del proyecto se registraron algunos comentarios e incidencias que fueron gestionados internamente. En particular, se realizaron ajustes y revisiones derivados de las siguientes observaciones: 18/dic/25 11:08 AM;712020:d8d35c01-546b-498f-aa7f-dbe2c966820c;precipitado mucoso al fondo 01/dic/25 10:19 AM;712020:d8d35c01-546b-498f-aa7f-dbe2c966820c;en frio hace algunos puntitos, comentar en un GT para validar 24/oct/25 8:44 AM;712020:d8d35c01-546b-498f-aa7f-dbe2c966820c;tiene un poso pegajoso abajo Estas situaciones fueron analizadas y resueltas dentro del proceso habitual de validación.

Contexto técnico del proyecto:
Proyecto interna formulación para **FLORONE ALGAS**: desarrollar/ajustar formulación para mejorar estabilidad, compatibilidad y rendimiento. Estado: con incidencias pendientes de resolver según resultados registrados. Referencia: ID-264.

Análisis técnico y posibles causas detectadas en ensayos:
El ensayo resulta **NOK**.
Componentes principales: AGUA INICIAL (47,0400), FOSFATO MONOPOTASICO (19,7500), NORLAN 24/6 (15,0000), EXTRACTO DE ALGAS XT95 (5,0000), HIDROXIDO POTASICO (2,2800).
Posibles causas (según la composición):
- presencia de goma xantana (riesgo de gelificación/viscosidad alta y sensibilidad a sales).
- presencia de co-solventes (alcohol/MPG/DMSO): puede afectar solubilidad y estabilidad.
- ajustes ácido/base presentes: cambios de pH pueden inducir precipitación si hay sales/metal.
- óxidos metálicos: posible sedimentación si no hay buena dispersión o control de pH.
Siguiente iteración sugerida:
- reducir xantana o prehidratar; probar alternativa (CMC/HEC) y revisar orden de adición.

El ensayo resulta **NOK**.
Componentes principales: AGUA INICIAL (47,0400), FOSFATO MONOPOTASICO (19,7500), NORLAN 24/6 (15,0000), ALGAS BIOATLANTIS MI-100 (5,0000), HIDROXIDO POTASICO (2,2800).
Posibles causas (según la composición):
- presencia de goma xantana (riesgo de gelificación/viscosidad alta y sensibilidad a sales).
- presencia de co-solventes (alcohol/MPG/DMSO): puede afectar solubilidad y estabilidad.
- ajustes ácido/base presentes: cambios de pH pueden inducir precipitación si hay sales/metal.
- óxidos metálicos: posible sedimentación si no hay buena dispersión o control de pH.
Siguiente iteración sugerida:
- reducir xantana o prehidratar; probar alternativa (CMC/HEC) y revisar orden de adición.

El ensayo resulta **NOK**.
Componentes principales: AGUA INICIAL (47,8900), FOSFATO MONOPOTASICO (19,7500), NORLAN 24/6 (15,0000), ALGAS BIOATLANTIS MI-100 (2,5000), HIDROXIDO POTASICO (2,2800).
Posibles causas (según la composición):
- presencia de goma xantana (riesgo de gelificación/viscosidad alta y sensibilidad a sales).
- presencia de co-solventes (alcohol/MPG/DMSO): puede afectar solubilidad y estabilidad.
- ajustes ácido/base presentes: cambios de pH pueden inducir precipitación si hay sales/metal.
- óxidos metálicos: posible sedimentación si no hay buena dispersión o control de pH.
Siguiente iteración sugerida:
- reducir xantana o prehidratar; probar alternativa (CMC/HEC) y revisar orden de adición.

El ensayo resulta **NOK**.
Componentes principales: AGUA (58,2400), FOSFATO MONOPOTASICO 25 KG (19,7500), GLUTAMATO MONOSODICO (2,5000), HIDROXIDO POTASICO (2,2800), HIDROXIDO POTASICO (2,2800).
Posibles causas (según la composición):
- presencia de goma xantana (riesgo de gelificación/viscosidad alta y sensibilidad a sales).
- presencia de co-solventes (alcohol/MPG/DMSO): puede afectar solubilidad y estabilidad.
- ajustes ácido/base presentes: cambios de pH pueden inducir precipitación si hay sales/metal.
- óxidos metálicos: posible sedimentación si no hay buena dispersión o control de pH.
Siguiente iteración sugerida:
- reducir xantana o prehidratar; probar alternativa (CMC/HEC) y revisar orden de adición.

El ensayo resulta **NOK**.
Componentes principales: AGUA (49,2400), FOSFATO MONOPOTASICO 25 KG (19,7500), MELAZA (10,0000), GLUTAMATO MONOSODICO (2,5000), HIDROXIDO POTASICO (2,2800).
Posibles causas (según la composición):
- presencia de goma xantana (riesgo de gelificación/viscosidad alta y sensibilidad a sales).
- presencia de co-solventes (alcohol/MPG/DMSO): puede afectar solubilidad y estabilidad.
- ajustes ácido/base presentes: cambios de pH pueden inducir precipitación si hay sales/metal.
- óxidos metálicos: posible sedimentación si no hay buena dispersión o control de pH.
Siguiente iteración sugerida:
- reducir xantana o prehidratar; probar alternativa (CMC/HEC) y revisar orden de adición.

El ensayo resulta **NOK**.
Componentes principales: AGUA (49,2400), FOSFATO MONOPOTASICO 25 KG (19,7500), PVL 14 (10,0000), GLUTAMATO MONOSODICO (2,5000), HIDROXIDO POTASICO (2,2800).
Posibles causas (según la composición):
- presencia de goma xantana (riesgo de gelificación/viscosidad alta y sensibilidad a sales).
- presencia de co-solventes (alcohol/MPG/DMSO): puede afectar solubilidad y estabilidad.
- ajustes ácido/base presentes: cambios de pH pueden inducir precipitación si hay sales/metal.
- óxidos metálicos: posible sedimentación si no hay buena dispersión o control de pH.
Siguiente iteración sugerida:
- reducir xantana o prehidratar; probar alternativa (CMC/HEC) y revisar orden de adición.",
31,30/2025,interno,MITIGADOR MATRISOJA,,"Se solicita el desarrollo de un bioestimulante basado en extractos vegetales que constituye un proyecto de adaptación a requisitos de mercado exterior con adecuación a especificaciones regulatorias y técnicas del país destino. El objetivo es asegurar estabilidad físico-química, compatibilidad en mezcla y eficacia agronómica, garantizando cumplimiento normativo en el mercado Brasil y validación para liberación comercial.",NS/NC,NS/NC,NS/NC,NS/NC,Brasil,Sí,Sí,,2025-10-06,95,13/02/2026,10/02/2026,368,,"Problema reportado originalmente:
Durante el desarrollo no se registraron incidencias relevantes que afectaran al avance del proyecto.

Contexto técnico del proyecto:
Formulación con aminoácidos, extractos y polisacáridos orientada a mitigar estrés térmico/UV/salino, adaptada a variantes 23% GB.

Análisis técnico y posibles causas detectadas en ensayos:
Versión F2.4 conforme; ajustada para estabilidad, viscosidad y compatibilidad, evitando posos y fases lechosas.",
32,31/2025,interno,FLORONE MARRUECOS,,"Se solicita el desarrollo de un bioestimulante aminoacídico que constituye un proyecto de mejora de formulación existente con optimización de estabilidad, compatibilidad y comportamiento físico-químico incorporando como materias primas destacadas hidrolizado vegetal rico en aminoácidos libres. El objetivo es asegurar estabilidad físico-química, compatibilidad en mezcla y eficacia agronómica, garantizando cumplimiento normativo en el mercado Marruecos y validación para liberación comercial.",NS/NC,NS/NC,NS/NC,NS/NC,Marruecos,Sí,Sí,,2025-10-07,34,21/11/2025,18/11/2025,124,,"Problema reportado originalmente:
Durante el desarrollo no se registraron incidencias relevantes que afectaran al avance del proyecto.

Contexto técnico del proyecto:
Proyecto interna formulación para **FLORONE MARRUECOS**: adaptación a requisitos/registros de Marruecos. Estado: con incidencias pendientes de resolver según resultados registrados. Referencia: ID-267.

Análisis técnico y posibles causas detectadas en ensayos:
El ensayo resulta **NOK**.
Componentes principales: AGUA INICIAL (48,4080), FOSFATO MONOPOTASICO (19,7500), AMINOACIDOS AAV-20 (15,0000), MONOETANOLAMINA (2,5000), HIDROXIDO POTASICO (2,2800).
Posibles causas (según la composición):
- presencia de goma xantana (riesgo de gelificación/viscosidad alta y sensibilidad a sales).
- presencia de co-solventes (alcohol/MPG/DMSO): puede afectar solubilidad y estabilidad.
- ajustes ácido/base presentes: cambios de pH pueden inducir precipitación si hay sales/metal.
- óxidos metálicos: posible sedimentación si no hay buena dispersión o control de pH.
Siguiente iteración sugerida:
- reducir xantana o prehidratar; probar alternativa (CMC/HEC) y revisar orden de adición.

El ensayo resulta **NOK**.
Componentes principales: AGUA INICIAL (60,8080), FOSFATO MONOPOTASICO (19,7500), GLUTAMATO SODICO (2,5000), HIDROXIDO POTASICO (2,2800), HIDROXIDO POTASICO (2,2800).
Posibles causas (según la composición):
- presencia de goma xantana (riesgo de gelificación/viscosidad alta y sensibilidad a sales).
- presencia de co-solventes (alcohol/MPG/DMSO): puede afectar solubilidad y estabilidad.
- ajustes ácido/base presentes: cambios de pH pueden inducir precipitación si hay sales/metal.
- óxidos metálicos: posible sedimentación si no hay buena dispersión o control de pH.
Siguiente iteración sugerida:
- reducir xantana o prehidratar; probar alternativa (CMC/HEC) y revisar orden de adición.",
33,32/2025,interno,MICROCAT BON + AA,,"Se solicita el desarrollo de un fertilizante mineral NPK que constituye un proyecto de adaptación a requisitos de mercado exterior con adecuación a especificaciones regulatorias y técnicas del país destino. El objetivo es asegurar estabilidad físico-química, compatibilidad en mezcla y eficacia agronómica, garantizando cumplimiento normativo en el mercado Mundial y validación para liberación comercial.",NS/NC,NS/NC,NS/NC,NS/NC,Mundial,Sí,Sí,,2025-10-15,88,13/02/2026,10/02/2026,340,,"Problema reportado originalmente:
Durante el desarrollo no se registraron incidencias relevantes que afectaran al avance del proyecto.

Contexto técnico del proyecto:
Formulación potásica con aminoácidos orientada a mejorar compatibilidad, estabilidad y registro para Marruecos.

Análisis técnico y posibles causas detectadas en ensayos:
Formulación K + aminoácidos; propuesta para registro en Marruecos. Ajustada para cumplir requisitos de MO y analítica evitando reacciones ácido–base indeseadas.",
34,33/2025,interno,FOLICAT B-MO-CU,,"Se solicita el desarrollo de un fertilizante mineral NPK que constituye un proyecto de adaptación a requisitos de mercado exterior con adecuación a especificaciones regulatorias y técnicas del país destino. El objetivo es asegurar estabilidad físico-química, compatibilidad en mezcla y eficacia agronómica, garantizando cumplimiento normativo en el mercado Mundial y validación para liberación comercial.",NS/NC,NS/NC,NS/NC,NS/NC,Mundial,Sí,Sí,,2025-10-16,87,13/02/2026,10/02/2026,336,,"Problema reportado originalmente:
Durante el desarrollo no se registraron incidencias relevantes que afectaran al avance del proyecto.

Contexto técnico del proyecto:
Formulación con B-Mo-Cu y aminoácidos orientada a mejorar compatibilidad, estabilidad y capacidad correctora de micronutrientes.

Análisis técnico y posibles causas detectadas en ensayos:
Ensayo conforme; ajustada para estabilidad y compatibilidad, sin precipitados ni reacciones inesperadas de B-Mo-Cu.",
35,34/2025,interno,AMINO SUPER COMO - NI + SALICILICO,,"Se solicita el desarrollo de un corrector de micronutrientes complejados que constituye un proyecto de adaptación a requisitos de mercado exterior con adecuación a especificaciones regulatorias y técnicas del país destino incorporando como materias primas destacadas molibdeno en forma de heptamolibdato amónico, níquel complejado (EDTA). El objetivo es asegurar estabilidad físico-química, compatibilidad en mezcla y eficacia agronómica, garantizando cumplimiento normativo en el mercado Paraguay y validación para liberación comercial.",NS/NC,NS/NC,NS/NC,NS/NC,Paraguay,Sí,Sí,,2025-10-28,37,17/12/2025,12/12/2025,136,,"Problema reportado originalmente:
Durante el desarrollo del proyecto se registraron algunos comentarios e incidencias que fueron gestionados internamente. En particular, se realizaron ajustes y revisiones derivados de las siguientes observaciones: 12/dic/25 9:47 AM;712020:d8d35c01-546b-498f-aa7f-dbe2c966820c;CALIDAD: Producto sin grumos ni posos, es estable a las diferentes temperaturas excepto a altas T, donde cambia de color y se hacen dos fases. Haría prueba industrial de la fórmula que consideréis para seguir proceso de evaluación y habría que considerar si aprobamos las fórmulas con esta inconveniencia. Por otra parte, a este tipo de productos que son suspensiones y muy viscosos, no se si empezaría a darle una vida útil de dos años. [@IVAN NAVARRO|mailto:inavarro@atlanticaagricola.com] no se si esto tendríamos que verlo a nivel GT3 para ver si aceptamos fórmulas a pesar de los problemas, como se hizo en la formulación anterior. 12/dic/25 9:48 AM;712020:d8d35c01-546b-498f-aa7f-dbe2c966820c;CALIDAD: Producto sin grumos ni posos, es estable a las diferentes temperaturas excepto a altas T, donde cambia de color y se hacen dos fases. Haría prueba industrial de la fórmula que consideréis para seguir proceso de evaluación y habría que considerar si aprobamos las fórmulas con esta inconveniencia. Por otra parte, a este tipo de productos que son suspensiones y muy viscosos, no se si empezaría a darle una vida útil de dos años. [@IVAN NAVARRO|mailto:inavarro@atlanticaagricola.com] no se si esto tendríamos que verlo a nivel GT3 para ver si aceptamos fórmulas a pesar de los problemas, como se hizo en la formulación anterior. Estas situaciones fueron analizadas y resueltas dentro del proceso habitual de validación.

Contexto técnico del proyecto:
Proyecto interna formulación para **AMINO SUPER COMO - NI + SALICILICO**: incorporación de salicílico manteniendo estabilidad y compatibilidad. Estado: con ensayos liberados según resultados registrados. Referencia: ID-305.

Análisis técnico y posibles causas detectadas en ensayos:
El ensayo es **OK pero no liberado** (pendiente de criterios internos/validación adicional).
Componentes principales: AGUA (41,865), OXIDO DE ZINC (19), HEPTAMOLIBDATO AMONICO 25 KG (8,8), EDTA DE NIQUEL POLVO (6), EDTA DE COBALTO LIQUIDO (3,7).
Notas técnicas:
- Fórmula con elementos sensibles (pH/sales/reología); mantener control de proceso y pruebas de estabilidad.

El ensayo es **OK pero no liberado** (pendiente de criterios internos/validación adicional).
Componentes principales: AGUA (41,765), OXIDO DE ZINC (19), HEPTAMOLIBDATO AMONICO 25 KG (8,8), EDTA DE NIQUEL POLVO (6), EDTA DE COBALTO LIQUIDO (3,7).
Notas técnicas:
- Fórmula con elementos sensibles (pH/sales/reología); mantener control de proceso y pruebas de estabilidad.

El ensayo es **OK pero no liberado** (pendiente de criterios internos/validación adicional).
Componentes principales: AGUA (41,665), OXIDO DE ZINC (19), HEPTAMOLIBDATO AMONICO 25 KG (8,8), EDTA DE NIQUEL POLVO (6), EDTA DE COBALTO LIQUIDO (3,7).
Notas técnicas:
- Fórmula con elementos sensibles (pH/sales/reología); mantener control de proceso y pruebas de estabilidad.",
36,35/2025,interno,CUPRIK MEJORADO MATRISOJA,,"Se solicita el desarrollo de un formulación agronómica especializada que constituye un proyecto de mejora de formulación existente con optimización de estabilidad, compatibilidad y comportamiento físico-químico. El objetivo es asegurar estabilidad físico-química, compatibilidad en mezcla y eficacia agronómica, garantizando cumplimiento normativo en el mercado Paraguay y validación para liberación comercial.",NS/NC,NS/NC,NS/NC,NS/NC,Paraguay,Sí,Sí,,2025-10-28,28,04/12/2025,01/12/2025,100,,"Problema reportado originalmente:
Durante el desarrollo del proyecto se registraron algunos comentarios e incidencias que fueron gestionados internamente. En particular, se realizaron ajustes y revisiones derivados de las siguientes observaciones: 01/dic/25 10:21 AM;712020:d8d35c01-546b-498f-aa7f-dbe2c966820c;en calor hace como un manchado rojo Estas situaciones fueron analizadas y resueltas dentro del proceso habitual de validación.

Contexto técnico del proyecto:
Proyecto interna formulación para **CUPRIK MEJORADO MATRISOJA**: iteración de mejora (estabilidad/compatibilidad) sobre versión previa. Estado: con incidencias pendientes de resolver según resultados registrados. Referencia: ID-306.

Análisis técnico y posibles causas detectadas en ensayos:
El ensayo resulta **NOK**.
Componentes principales: CUPRIK L (99,35), SULFATO DE MANGANESO (0,35), SULFATO DE ZINC MONOHIDRATADO (0,30).
No hay señales claras en la fórmula para atribuir una causa única; posibles causas generales: incompatibilidad, precipitación por pH/sales, o separación de fases.
Siguiente iteración sugerida:
- hacer screening de pH, conductividad y estabilidad térmica; probar pequeñas variaciones de co-solventes/espesantes.

El ensayo resulta **NOK**.
Componentes principales: CUPRIK L (98,35), GLICINA (1,00), SULFATO DE MANGANESO (0,35), SULFATO DE ZINC MONOHIDRATADO (0,30).
No hay señales claras en la fórmula para atribuir una causa única; posibles causas generales: incompatibilidad, precipitación por pH/sales, o separación de fases.
Siguiente iteración sugerida:
- hacer screening de pH, conductividad y estabilidad térmica; probar pequeñas variaciones de co-solventes/espesantes.

El ensayo resulta **NOK**.
Componentes principales: GLICINA (1,00), BRENNTSOL V (1,00), SULFATO DE MANGANESO (0,35), SULFATO DE ZINC MONOHIDRATADO (0,30), ACIDO SALICILICO (0,10).
No hay señales claras en la fórmula para atribuir una causa única; posibles causas generales: incompatibilidad, precipitación por pH/sales, o separación de fases.
Siguiente iteración sugerida:
- hacer screening de pH, conductividad y estabilidad térmica; probar pequeñas variaciones de co-solventes/espesantes.",
37,36/2025,interno,RAYKAT ROOT ECO + M01,,"Se solicita el desarrollo de un bioestimulante basado en extractos vegetales que constituye un proyecto de adaptación a requisitos de mercado exterior con adecuación a especificaciones regulatorias y técnicas del país destino. El objetivo es asegurar estabilidad físico-química, compatibilidad en mezcla y eficacia agronómica, garantizando cumplimiento normativo en el mercado Mundial y validación para liberación comercial.",NS/NC,NS/NC,NS/NC,NS/NC,Mundial,Sí,Sí,,2025-10-28,79,13/02/2026,10/02/2026,304,,"Problema reportado originalmente:
Durante el desarrollo del proyecto se registraron algunos comentarios e incidencias que fueron gestionados internamente. En particular, se realizaron ajustes y revisiones derivados de las siguientes observaciones: 12/dic/25 9:49 AM;712020:d8d35c01-546b-498f-aa7f-dbe2c966820c;Hay que ver la viscosidad con producción y hacer prueba industrial para terminar de validar Estas situaciones fueron analizadas y resueltas dentro del proceso habitual de validación.

Contexto técnico del proyecto:
Proyecto interna formulación para **RAYKAT ROOT ECO + M01**: desarrollar/ajustar formulación para mejorar estabilidad, compatibilidad y rendimiento. Estado: con ensayos liberados según resultados registrados. Referencia: ID-307.

Análisis técnico y posibles causas detectadas en ensayos:
El ensayo está **LIBERADO**.
Componentes principales: CSLB (50), M01 (37,9), GLICINA (2,1), MONOETANOLAMINA (1,6), L-TRIPTOFANO (1,5).
Notas técnicas:
- Fórmula con elementos sensibles (pH/sales/reología); mantener control de proceso y pruebas de estabilidad.",
38,37/2025,interno,ARCHER INET,,"Se solicita el desarrollo de un corrector de micronutrientes complejados que constituye un proyecto de mejora de formulación existente con optimización de estabilidad, compatibilidad y comportamiento físico-químico incorporando como materias primas destacadas molibdeno en forma de heptamolibdato amónico. El objetivo es asegurar estabilidad físico-química, compatibilidad en mezcla y eficacia agronómica, garantizando cumplimiento normativo en el mercado Mundial y validación para liberación comercial.",NS/NC,NS/NC,NS/NC,NS/NC,Mundial,Sí,Sí,,2025-11-05,73,13/02/2026,10/02/2026,280,,"Problema reportado originalmente:
Durante el desarrollo del proyecto se registraron algunos comentarios e incidencias que fueron gestionados internamente. En particular, se realizaron ajustes y revisiones derivados de las siguientes observaciones: 01/dic/25 10:22 AM;712020:d8d35c01-546b-498f-aa7f-dbe2c966820c;tiene un posillo, no es muy grave pero no me gusta Estas situaciones fueron analizadas y resueltas dentro del proceso habitual de validación.

Contexto técnico del proyecto:
Proyecto interna formulación para **ARCHER INET**: desarrollar/ajustar formulación para mejorar estabilidad, compatibilidad y rendimiento. Estado: con ensayos liberados según resultados registrados. Referencia: ID-317.

Análisis técnico y posibles causas detectadas en ensayos:
El ensayo está **LIBERADO**.
Componentes principales: M01 (86,40), GLUTAMATO MONOSODICO (3,00), GLICINA (2,00), L-PROLINA (2,00), CSLB (1,00).
Notas técnicas: sin incidencias destacables en los datos disponibles.

El ensayo resulta **NOK**.
Componentes principales: AGUA INICIAL (46,55), M01 (40,00), GLUTAMATO MONOSODICO (3,00), L-PROLINA (2,00), GLICINA (2,00).
No hay señales claras en la fórmula para atribuir una causa única; posibles causas generales: incompatibilidad, precipitación por pH/sales, o separación de fases.
Siguiente iteración sugerida:
- hacer screening de pH, conductividad y estabilidad térmica; probar pequeñas variaciones de co-solventes/espesantes.

El ensayo está **LIBERADO**.
Componentes principales: AGUA (42,31), M01 (40,00), MONOPROPILENGLICOL (4,00), GLUTAMATO MONOSODICO (3,00), L-PROLINA (2,00).
Notas técnicas:
- Fórmula con elementos sensibles (pH/sales/reología); mantener control de proceso y pruebas de estabilidad.",
39,38/2025,interno,OLEORGAN GEOLIFE,,"Se solicita el desarrollo de un fertilizante mineral NPK que constituye un proyecto de mejora de formulación existente con optimización de estabilidad, compatibilidad y comportamiento físico-químico. El objetivo es asegurar estabilidad físico-química, compatibilidad en mezcla y eficacia agronómica, garantizando cumplimiento normativo en el mercado Mundial y validación para liberación comercial.",NS/NC,NS/NC,NS/NC,NS/NC,Mundial,Sí,Sí,,2025-11-12,52,22/01/2026,19/01/2026,196,,"Problema reportado originalmente:
Durante el desarrollo no se registraron incidencias relevantes que afectaran al avance del proyecto.

Contexto técnico del proyecto:
Proyecto interna formulación para **OLEORGAN GEOLIFE**: desarrollar/ajustar formulación para mejorar estabilidad, compatibilidad y rendimiento. Estado: con incidencias pendientes de resolver según resultados registrados. Referencia: ID-333.

Análisis técnico y posibles causas detectadas en ensayos:
El ensayo resulta **NOK**.
Componentes principales: ACEITE DE NEEM GEOLIFE (38), BRENNTSOL V (24,7), AGUA (24,6), HIDROXIDO DE POTASIO (7), TWEEN 85 (5).
Posibles causas (según la composición):
- sistema emulsionado (aceites/emulgentes): riesgo de separación de fases si HLB o solvente no es adecuado.
- óxidos metálicos: posible sedimentación si no hay buena dispersión o control de pH.
Siguiente iteración sugerida:
- ajustar paquete de emulgentes (HLB) y solvente; test de estufa/ciclos térmicos.",
40,39/2025,interno,RAZORMIN MARRUECOS,,"Se solicita el desarrollo de un fertilizante mineral NPK que constituye un proyecto de mejora de formulación existente con optimización de estabilidad, compatibilidad y comportamiento físico-químico. El objetivo es asegurar estabilidad físico-química, compatibilidad en mezcla y eficacia agronómica, garantizando cumplimiento normativo en el mercado Marruecos y validación para liberación comercial.",NS/NC,NS/NC,NS/NC,NS/NC,Marruecos,Sí,Sí,,2025-11-12,33,26/12/2025,23/12/2025,120,,"Problema reportado originalmente:
Durante el desarrollo no se registraron incidencias relevantes que afectaran al avance del proyecto.

Contexto técnico del proyecto:
Proyecto interna formulación para **RAZORMIN MARRUECOS**: adaptación a requisitos/registros de Marruecos. Estado: con incidencias pendientes de resolver según resultados registrados. Referencia: ID-331.

Análisis técnico y posibles causas detectadas en ensayos:
El ensayo resulta **NOK**.
Componentes principales: AGUA INICIAL (40,9800), MELAZA (10,0000), FOSFATO MONOPOTASICO (8,0000), AGUA (6,3800), NITRATO AMONICO (5,7500).
Posibles causas (según la composición):
- presencia de goma xantana (riesgo de gelificación/viscosidad alta y sensibilidad a sales).
- mezcla de quelantes (EDTA) con sales (sulfatos/cloruros): posible precipitación o incompatibilidad iónica.
- coexistencia nitratos/fosfatos con otros iones: riesgo de cristalización si hay alta carga salina.
- presencia de co-solventes (alcohol/MPG/DMSO): puede afectar solubilidad y estabilidad.
Siguiente iteración sugerida:
- reducir xantana o prehidratar; probar alternativa (CMC/HEC) y revisar orden de adición.
- evitar combinar EDTA con sulfatos/cloruros; cambiar a gluconatos/heptagluconatos o ajustar secuencia/pH.",
